Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
R15,RES_0603_N,22.86mm,16.256mm,22.86mm,16.256mm,22.86mm,17.056mm,T,270,100k
R16,RES_0603_N,33.782mm,7.874mm,33.782mm,7.874mm,33.782mm,7.074mm,T,90,100k
R19,RES_0603_N,28.194mm,25.654mm,28.194mm,25.654mm,28.194mm,24.854mm,T,90,100k
C15,CAP_0603_N,30.48mm,4.064mm,30.48mm,4.064mm,30.48mm,4.864mm,T,270,10u
C7,CAP_0603_N,20.282mm,20.32mm,20.282mm,20.32mm,21.082mm,20.32mm,T,180,10u
C9,CAP_0603_N,19.812mm,26.416mm,19.812mm,26.416mm,20.612mm,26.416mm,T,180,10u
C1,CAP_0603_N,38.608mm,16.51mm,38.608mm,16.51mm,38.608mm,15.71mm,T,90,100p
C16,CAP_0603_N,38.608mm,9.398mm,38.608mm,9.398mm,38.608mm,8.598mm,T,90,100p
C2,CAP_0603_N,38.608mm,12.7mm,38.608mm,12.7mm,38.608mm,13.5mm,T,270,100p
