"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"CN7","LSS-110-01-H-DV-A","63mm","36.36mm","63mm","36.36mm","66.925mm","35.26mm","B","360.00","LSS-110-01-H-DV-A"
"U6","FP-LQFN-32-05-08-1512-0","25.3665mm","20.3235mm","25.3665mm","20.3235mm","23.4665mm","22.5735mm","T","0.00","LT8646SEV#PBF"
"C62","CAP_1210_2.8mm_N","34.171mm","9.871mm","34.171mm","9.871mm","34.171mm","11.371mm","T","270.00","100u"
"C27","CAP_1210_2.8mm_N","34.171mm","14.697mm","34.171mm","14.697mm","34.171mm","13.197mm","T","90.00","100u"
"C26","CAP_0805_N","29.405mm","10.443mm","29.405mm","10.443mm","29.405mm","11.403mm","T","270.00","10u"
"CN9","533980271","102.497mm","40.732mm","102.497mm","40.732mm","101.122mm","41.357mm","B","270.00","0533980271"
"CN4","BM04B-GHS-TBT","89.239mm","47.098mm","90.509mm","47.098mm","87.564mm","49.003mm","B","270.00","BM04B-GHS-TBT"
"CN5","MOLX-53398-1071_V","96.984mm","42.339mm","97.359mm","42.339mm","95.609mm","47.964mm","B","90.00","53398-1071"
"CN3","533980871","102.5mm","26.5mm","102.5mm","26.5mm","101.125mm","30.875mm","B","270.00","0533980871"
"CN8","533980271","60mm","7.5mm","60mm","7.5mm","60.625mm","8.875mm","B","180.00","0533980271"
"CN10","533980271","102.497mm","11.268mm","102.497mm","11.268mm","101.122mm","11.893mm","B","270.00","0533980271"
"U18","TSOT23-6","83.273mm","11.715mm","81.923mm","12.665mm","81.923mm","12.665mm","T","360.00","AP3602A"
"R32","RES_0603_N","69.858mm","4.41mm","69.858mm","4.41mm","69.858mm","5.21mm","T","270.00","2k2"
"R31","RES_0603_N","69.858mm","9.528mm","69.858mm","9.528mm","69.858mm","10.328mm","T","270.00","2k2"
"L6","IND_0603_N","72.906mm","4.41mm","72.906mm","4.41mm","72.906mm","3.61mm","T","90.00","1k@100Mhz,"
"D7","SOD123-Diode","67.953mm","10.379mm","67.953mm","10.379mm","67.953mm","11.854mm","T","270.00","1N4148W"
"C84","CAP_0603_N","81.415mm","14.062mm","81.415mm","14.062mm","80.615mm","14.062mm","T","360.00","10u"
"C83","CAP_0402_N","80.018mm","12.03mm","80.018mm","12.03mm","80.018mm","12.48mm","T","270.00","100n"
"C82","CAP_0402_N","86.241mm","11.649mm","86.241mm","11.649mm","86.241mm","12.099mm","T","270.00","100n"
"C81","CAP_0603_N","86.241mm","14.443mm","86.241mm","14.443mm","86.241mm","13.643mm","T","90.00","10u"
"C80","CAP_0603_N","87.511mm","11.903mm","87.511mm","11.903mm","87.511mm","11.103mm","T","90.00","1u"
"C79","CAP_0603_N","71.382mm","4.41mm","71.382mm","4.41mm","71.382mm","5.21mm","T","270.00","100p"
"C78","CAP_0603_N","71.382mm","9.49mm","71.382mm","9.49mm","71.382mm","10.29mm","T","270.00","100p"
"X2","ECS-5032MV","91.8mm","16.971mm","91.8mm","16.971mm","90.53mm","15.871mm","T","360.00","ECS-5032MV-120-BN-TR"
"C22","CAP_0402_N","90.784mm","19.511mm","90.784mm","19.511mm","90.334mm","19.511mm","T","360.00","100n"
"U17","LT-TS8-8-TSOT-23_V","25.167mm","31.187mm","25.167mm","31.187mm","23.857mm","32.162mm","T","0.00","LTC2912ITS8-3#TRMPBF"
"R49","RES_0603_N","28.128mm","29.592mm","28.128mm","29.592mm","28.128mm","28.792mm","T","90.00","11k5"
"R48","RES_0402_N","22.286mm","31.497mm","22.286mm","31.497mm","22.286mm","30.997mm","T","90.00","10k"
"R47","RES_0402_N","28.001mm","32.132mm","28.001mm","32.132mm","28.001mm","31.632mm","T","90.00","100k"
"C74","CAP_0402_N","26.731mm","33.598mm","26.731mm","33.598mm","26.731mm","33.148mm","T","90.00","100n"
"C68","CAP_0402_N","26.223mm","29.084mm","26.223mm","29.084mm","26.673mm","29.084mm","T","180.00","100n"
"C38","CAP_0402_N","89.4944mm","38.0574mm","89.4944mm","38.0574mm","89.4944mm","38.5074mm","T","270.00","100n"
"C30","CAP_0603_N","36.472mm","24.663mm","36.472mm","24.663mm","37.272mm","24.663mm","T","180.00","10u"
"C29","CAP_0603_N","33.917mm","29.81mm","33.917mm","29.81mm","33.117mm","29.81mm","T","360.00","10u"
"CN2","B8B-PH-SM4-TB","81mm","6.125mm","88mm","5mm","88mm","5mm","B","180.00","B8B-PH-SM4-TB"
"C43","CAP_0402_N","55.687mm","40.006mm","55.687mm","40.006mm","56.137mm","40.006mm","T","180.00","100n"
"C39","CAP_0402_N","84.1604mm","38.0574mm","84.1604mm","38.0574mm","84.1604mm","38.5074mm","T","270.00","100n"
"C44","CAP_0402_N","55.687mm","38.99mm","55.687mm","38.99mm","56.137mm","38.99mm","T","180.00","100n"
"C37","CAP_0402_N","85.913mm","24.258mm","85.913mm","24.258mm","85.913mm","23.808mm","T","90.00","100n"
"C36","CAP_0402_N","80.579mm","25.274mm","80.579mm","25.274mm","80.579mm","25.724mm","T","270.00","100n"
"C33","CAP_0402_N","37.145mm","26.753mm","37.145mm","26.753mm","37.145mm","26.303mm","T","90.00","100n"
"C32","CAP_0402_N","31.811mm","27.687mm","31.811mm","27.687mm","31.811mm","28.137mm","T","270.00","100n"
"C34","CAP_0603_N","85.151mm","22.226mm","85.151mm","22.226mm","85.951mm","22.226mm","T","180.00","10u"
"C31","CAP_0603_N","82.611mm","27.433mm","82.611mm","27.433mm","81.811mm","27.433mm","T","360.00","10u"
"C19","CAP_0805_N","21.725mm","19.523mm","21.725mm","19.523mm","21.725mm","20.483mm","T","270.00","4u7"
"C16","CAP_1206_N","36.517mm","20.095mm","36.517mm","20.095mm","36.517mm","21.595mm","T","270.00","10u"
"C47","CAP_1210_2.8mm_N","30.795mm","37.974mm","30.795mm","37.974mm","30.795mm","36.474mm","T","90.00","100u"
"C49","CAP_1210_2.8mm_N","34.097mm","37.974mm","34.097mm","37.974mm","34.097mm","36.474mm","T","90.00","100u"
"C48","CAP_1210_2.8mm_N","23.556mm","43.562mm","23.556mm","43.562mm","25.056mm","43.562mm","T","180.00","100u"
"C46","CAP_1210_2.8mm_N","32.319mm","33.783mm","32.319mm","33.783mm","33.819mm","33.783mm","T","180.00","100u"
"C60","CAP_0603_N","93.468mm","20.781mm","93.468mm","20.781mm","94.268mm","20.781mm","T","180.00","10u"
"C57","CAP_0603_N","102.104mm","21.162mm","102.104mm","21.162mm","101.304mm","21.162mm","T","360.00","10u"
"C59","CAP_0402_N","93.907mm","22.051mm","93.907mm","22.051mm","94.357mm","22.051mm","T","180.00","100n"
"C58","CAP_0402_N","101.654mm","22.432mm","101.654mm","22.432mm","101.204mm","22.432mm","T","360.00","100n"
"C55","CAP_0402_N","65.032mm","7.839mm","65.032mm","7.839mm","65.482mm","7.839mm","T","180.00","100n"
"C54","CAP_1210_2.8mm_N","103.894mm","25.619mm","103.894mm","25.619mm","103.894mm","27.119mm","T","270.00","100u"
"C15","CAP_0402_N","50.427mm","22.444mm","50.427mm","22.444mm","50.877mm","22.444mm","T","180.00","100n"
"C14","CAP_0402_N","69.784mm","30.677mm","69.784mm","30.677mm","69.784mm","31.127mm","T","270.00","100n"
"C13","CAP_0402_N","69.657mm","37.339mm","69.657mm","37.339mm","69.657mm","36.889mm","T","90.00","100n"
"C9","CAP_0402_N","80.907mm","38.573mm","80.907mm","38.573mm","80.907mm","38.123mm","T","90.00","10n"
"C12","CAP_0603_N","79.637mm","38.738mm","79.637mm","38.738mm","79.637mm","37.938mm","T","90.00","10u"
"C11","CAP_0402_N","82.124mm","38.537mm","82.124mm","38.537mm","82.124mm","38.087mm","T","90.00","100n"
"C10","CAP_0402_N","79.256mm","36.287mm","79.256mm","36.287mm","79.256mm","36.737mm","T","270.00","100n"
"C67","CAP_0402_N","99.945mm","16.463mm","99.945mm","16.463mm","99.945mm","16.913mm","T","270.00","100n"
"C8","CAP_0402_N","40.013mm","17.999mm","40.013mm","17.999mm","39.563mm","17.999mm","T","360.00","100n"
"C6","CAP_1206_N","55.507mm","5.934mm","55.507mm","5.934mm","57.007mm","5.934mm","T","180.00","1n"
"C3","CAP_0402_N","76.41mm","6.798mm","76.41mm","6.798mm","76.41mm","6.348mm","T","90.00","100n"
"C1","CAP_0402_N","67.244mm","26.925mm","67.244mm","26.925mm","67.694mm","26.925mm","T","180.00","100n"
"C2","CAP_0402_N","67.244mm","28.068mm","67.244mm","28.068mm","67.694mm","28.068mm","T","180.00","100n"
"C5","CAP_0603_N","75.918mm","16.655mm","75.918mm","16.655mm","75.918mm","17.455mm","T","270.00","18p"
"C4","CAP_0603_N","75.918mm","19.538mm","75.918mm","19.538mm","75.918mm","18.738mm","T","90.00","18p"
"D4","SOD123W","36.764mm","33.656mm","36.764mm","33.656mm","36.764mm","35.131mm","T","270.00","PTVS5V0S1UR"
"D8","SOD123-Diode","67.953mm","5.299mm","67.953mm","5.299mm","67.953mm","6.774mm","T","270.00","1N4148W"
"D2","SMA","59.825mm","3.902mm","59.825mm","3.902mm","59.825mm","5.427mm","T","270.00","SMAJ30A"
"D1","SOT23-3","86.241mm","6.95mm","86.241mm","6.95mm","85.241mm","7.9mm","T","360.00","NUP2105LT1G"
"L3","NLCV32-PF","39.177mm","26.798mm","39.177mm","26.798mm","39.177mm","28.298mm","T","270.00","2µ2"
"L4","NLCV32-PF","88.072mm","24.385mm","88.072mm","24.385mm","88.072mm","25.885mm","T","270.00","2µ2"
"LED2","LED_0603_N","22.393mm","8.398mm","22.393mm","8.398mm","22.393mm","9.198mm","B","270.00","LTST-C190KGKT"
"LED3","LED_0603_N","24.0863mm","8.398mm","24.0863mm","8.398mm","24.0863mm","9.198mm","B","270.00","LTST-C190KGKT"
"LED1","LED_0603_N","25.695mm","8.398mm","25.695mm","8.398mm","25.695mm","9.198mm","B","270.00","LTST-C190KSKT"
"PCB1","PCBSKU","-30mm","-91mm","84.082mm","35.398mm","-30mm","-91mm","T","270.00","PCB"
"R15","RES_0603_N","87.5894mm","35.0784mm","87.5894mm","35.0784mm","88.3894mm","35.0784mm","T","180.00","18k"
"R13","RES_0603_N","22.271mm","7.331mm","22.271mm","7.331mm","21.471mm","7.331mm","T","360.00","300R"
"R14","RES_0402_N","25.789mm","7.069mm","25.789mm","7.069mm","25.789mm","6.569mm","T","90.00","1k"
"R11","RES_0603_N","28.837mm","23.46mm","28.837mm","23.46mm","28.837mm","24.26mm","T","270.00","88k7"
"R26","RES_0402_N","47.76mm","18.253mm","47.76mm","18.253mm","47.76mm","18.753mm","T","270.00","10k"
"R27","RES_1206_N","62.746mm","9.998mm","62.746mm","9.998mm","64.196mm","9.998mm","T","180.00","0.02R"
"R19","RES_0402_N","37.145mm","38.355mm","37.145mm","38.355mm","36.645mm","38.355mm","T","360.00","10k"
"R8","RES_0603_N","27.186mm","6.607mm","27.186mm","6.607mm","27.186mm","5.807mm","T","90.00","300R"
"R6","RES_0603_N","73.668mm","32.731mm","73.668mm","32.731mm","72.868mm","32.731mm","T","360.00","1M"
"R5","RES_0402_N","73.287mm","34.128mm","73.287mm","34.128mm","73.787mm","34.128mm","T","180.00","10k"
"R4","RES_0402_N","84.463mm","34.382mm","84.463mm","34.382mm","84.463mm","34.882mm","T","270.00","10k"
"R2","RES_0603_N","41.156mm","13.338mm","41.156mm","13.338mm","41.156mm","14.138mm","T","270.00","75R"
