Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
R12,RES_0805_N,7.112mm,12.258mm,7.112mm,12.258mm,7.112mm,13.208mm,T,270,4.7k
R5,RES_0805_N,6.096mm,0.508mm,6.096mm,0.508mm,7.046mm,0.508mm,T,180,4.7k
R21,RES_0603_N,17.526mm,8.374mm,17.526mm,8.374mm,17.526mm,7.574mm,T,90,100k
R20,RES_0603_N,22.86mm,9.906mm,22.86mm,9.906mm,22.86mm,9.106mm,T,90,10k
R19,RES_0603_N,28.194mm,25.654mm,28.194mm,25.654mm,28.194mm,24.854mm,T,90,100k
C24,CAP_0603_N,17.526mm,4.356mm,17.526mm,4.356mm,17.526mm,3.556mm,T,90,10n
C18,CAP_0603_N,4.191mm,7.112mm,4.191mm,7.112mm,4.191mm,6.312mm,T,90,100n
C14,CAP_0603_N,4.191mm,19.812mm,4.191mm,19.812mm,4.191mm,19.012mm,T,90,100n
C13,CAP_0603_N,33.782mm,17.78mm,33.782mm,17.78mm,32.982mm,17.78mm,T,360,100n
U11,SOP4,12.192mm,-0.762mm,12.192mm,-0.762mm,8.992mm,0.508mm,T,360,LTV-352T
U10,DGS0010A_N,8.128mm,5.588mm,8.128mm,5.588mm,10.353mm,4.588mm,T,180,LM5060Q1MM/NOPB
C12,CAP_0603_N,24.638mm,8.128mm,24.638mm,8.128mm,24.638mm,7.328mm,T,90,100n
C11,CAP_0603_N,12.192mm,4.064mm,12.192mm,4.064mm,12.192mm,4.864mm,T,270,100n
C10,CAP_0603_N,23.368mm,20.32mm,23.368mm,20.32mm,22.568mm,20.32mm,T,360,100n
C9,CAP_0603_N,19.812mm,26.416mm,19.812mm,26.416mm,20.612mm,26.416mm,T,180,10u
C8,CAP_0603_N,19.812mm,24.892mm,19.812mm,24.892mm,20.612mm,24.892mm,T,180,100n
C7,CAP_0603_N,20.282mm,20.32mm,20.282mm,20.32mm,21.082mm,20.32mm,T,180,10u
C6,CAP_0603_N,24.384mm,22.606mm,24.384mm,22.606mm,24.384mm,21.806mm,T,90,1u
R13,RES_0603_N,13.716mm,7.112mm,13.716mm,7.112mm,13.716mm,7.912mm,T,270,6k04
R9,RES_0603_N,9.906mm,2.794mm,9.906mm,2.794mm,10.706mm,2.794mm,T,180,6k04
R2,RES_0805_N,6.096mm,25.908mm,6.096mm,25.908mm,7.046mm,25.908mm,T,180,4.7k
Q1,TDSON8,-0.762mm,17.526mm,-0.762mm,17.526mm,2.0475mm,15.621mm,T,90,CSD18537NQ5A
Label1,BoardLabel_A,-93.9mm,-58.9mm,-3.429mm,11.049mm,-93.9mm,-58.9mm,T,0,Board Label
X1,7A,26.162mm,3.302mm,26.162mm,3.302mm,28.012mm,3.302mm,T,180,ABM3-12.000MHZ-D2Y-T
U9,TSOT23-8,19.812mm,3.556mm,19.812mm,3.556mm,20.787mm,4.866mm,T,270,LTC2912ITS8-2#TRMPBF
U8,SOT23-5_N,20.32mm,8.882mm,20.32mm,8.882mm,19.37mm,7.507mm,T,90,STWD100YNYWY3F
U7,SOT353,30.455mm,25.654mm,30.48mm,25.654mm,29.53mm,26.304mm,T,270,74LVC1G14SE-7
U6,LQFP32_N,28.956mm,12.954mm,28.956mm,12.954mm,26.156mm,8.779mm,T,90,STM32F042K6T6
U5,TSOT23-6,21.416mm,22.672mm,20.066mm,23.622mm,20.066mm,23.622mm,T,360,AP3602A
U4,SOP4,12.192mm,11.938mm,12.192mm,11.938mm,8.992mm,13.208mm,T,360,LTV-352T
U3,SOP4,12.192mm,24.638mm,12.192mm,24.638mm,8.992mm,25.908mm,T,360,LTV-352T
U2,DGS0010A_N,8.128mm,18.288mm,8.128mm,18.288mm,10.353mm,17.288mm,T,180,LM5060Q1MM/NOPB
U1,SOIC8,31.496mm,21.336mm,31.496mm,21.336mm,28.771mm,23.241mm,T,360,LT1796IS8#PBF
R38,RES_0603_N,17.526mm,1.27mm,17.526mm,1.27mm,17.526mm,2.07mm,T,270,46.4k
R37,RES_0603_N,19.812mm,0.508mm,19.812mm,0.508mm,19.012mm,0.508mm,T,360,7.15k
R36,RES_0603_N,22.098mm,1.27mm,22.098mm,1.27mm,22.098mm,0.47mm,T,90,270k
R31,RES_0603_N,34.582mm,26.416mm,34.582mm,26.416mm,35.382mm,26.416mm,T,180,300R
R30,RES_0603_N,37.846mm,24.13mm,37.846mm,24.13mm,38.646mm,24.13mm,T,180,300R
