Comment,Description,Quantity,SKU,Designator
,,,,
Board Label,Board Label,1,BRD-063-2A,Label1
10n,10n 50v 10% X7R 0603,1,CAP-12,C24
100p,100p 50v 5% COG 0603,1,CAP-84,C1
100p,100p 50v 5% COG 0603,1,CAP-84,C16
100p,100p 50v 5% COG 0603,1,CAP-84,C2
1u,1u 16v 10% X5R 0603,1,CAP-173,C6
100n,100n 50v 10% X7R 0603,1,CAP-180,C10
100n,100n 50v 10% X7R 0603,1,CAP-180,C11
100n,100n 50v 10% X7R 0603,1,CAP-180,C12
100n,100n 50v 10% X7R 0603,1,CAP-180,C13
100n,100n 50v 10% X7R 0603,1,CAP-180,C14
100n,100n 50v 10% X7R 0603,1,CAP-180,C18
100n,100n 50v 10% X7R 0603,1,CAP-180,C21
100n,100n 50v 10% X7R 0603,1,CAP-180,C23
100n,100n 50v 10% X7R 0603,1,CAP-180,C3
100n,100n 50v 10% X7R 0603,1,CAP-180,C4
100n,100n 50v 10% X7R 0603,1,CAP-180,C5
100n,100n 50v 10% X7R 0603,1,CAP-180,C8
18p,18p 100V 5% COG 0603,1,CAP-199,C19
18p,18p 100V 5% COG 0603,1,CAP-199,C20
10u,10u 10v 20% X5R 0603,1,CAP-573,C15
10u,10u 10v 20% X5R 0603,1,CAP-573,C7
10u,10u 10v 20% X5R 0603,1,CAP-573,C9
100u,100u 10v 20% X5R 1210,1,CAP-697,C17
MMS-104-01-T-SV,"Tiger Claw(TM) Socket Strip, Through-hole, Vertical, -55 to 105 degC, 2 mm Pitch, 4-Pin, Female, RoHS",1,CON-J018,CN3
0ZCH0020FF2E,POLYSWITCH 0.20A 30V RESET FUSE SMD,1,FUS-315,F3
FB,"TDK - MPZ1608S101ATAH0, 3A",1,IND-426,L4
LTST-C190KGKT,LED - SMD Green Clear 571nm 0603,1,OPT-503,LED2
LTST-C190KRKT,LED - SMD Red Clear 631nm 0603,1,OPT-504,LED1
10k,10k 1% 63mW 0603,1,RES-5,R20
4.7k,4.7k 5% 250mW 0805,1,RES-130,R12
4.7k,4.7k 5% 250mW 0805,1,RES-130,R2
4.7k,4.7k 5% 250mW 0805,1,RES-130,R5
100k,100k 1% 100mW 0603,1,RES-171,R15
100k,100k 1% 100mW 0603,1,RES-171,R16
100k,100k 1% 100mW 0603,1,RES-171,R19
100k,100k 1% 100mW 0603,1,RES-171,R21
300R,300R 1% 100mW 0603,1,RES-266,R30
300R,300R 1% 100mW 0603,1,RES-266,R31
120k,120k 1% 100mW 0603,1,RES-285,R10
120k,120k 1% 100mW 0603,1,RES-285,R3
46.4k,46.4k 1% 100mW 0603,1,RES-287,R38
2k2,2.2k 1% 100mW 0603,1,RES-346,R14
2k2,2.2k 1% 100mW 0603,1,RES-346,R17
2k2,2.2k 1% 100mW 0603,1,RES-346,R18
2k2,2.2k 1% 100mW 0603,1,RES-346,R6
2k2,2.2k 1% 100mW 0603,1,RES-346,R8
36k,36k 1% 100mW 0603,1,RES-462,R11
36k,36k 1% 100mW 0603,1,RES-462,R4
6k04,6.04k 1% 100mW 0603,1,RES-469,R1
6k04,6.04k 1% 100mW 0603,1,RES-469,R13
6k04,6.04k 1% 100mW 0603,1,RES-469,R7
6k04,6.04k 1% 100mW 0603,1,RES-469,R9
7.15k,7.15k 1% 100mW 0603,1,RES-563,R37
270k,270k 1% 100mW 0603,1,RES-614,R36
STM32F042K6T6,ARM Cortex-M0 STM32 F0 Microcontroller IC 32-Bit 48MHz 32KB (32K x 8) FLASH 32-LQFP (7x7),1,SEM-76,U6
PTVS3V3S1UR,"DIODE, TVS, UNI, 3.3V, 400W",1,SEM-301,D5
74LVC1G14SE-7,"DIODES INC - SCHMITT TRIG, INV GATE (28mA DRV)",1,SEM-361,U7
NUP2105LT1G,"Dual Line CAN Bus Protector, 3-Pin SOT-23, Pb-Free, Tape and Reel",1,SEM-424,D1
CSD18537NQ5A,MOSFET N-CH 60V 50A 8SON,1,SEM-447,Q1
CSD18537NQ5A,MOSFET N-CH 60V 50A 8SON,1,SEM-447,Q2
LTV-352T,Lite-On Inc OPTOISO 3.75KV DARLINGTON 4SOP,1,SEM-448,U11
LTV-352T,Lite-On Inc OPTOISO 3.75KV DARLINGTON 4SOP,1,SEM-448,U3
LTV-352T,Lite-On Inc OPTOISO 3.75KV DARLINGTON 4SOP,1,SEM-448,U4
STWD100YNYWY3F,ST- Watchdog timer circuit,1,SEM-611,U8
LTC2912ITS8-2#TRMPBF,"Single UV/OV Voltage Monitor, 8-pin SOT23 (TS8-8), -40 to 85 degC, Pb-Free, Mini Tape and Reel",1,SEM-612,U9
LM5060Q1MM/NOPB,"High-Side Protection Controller with Low Quiescent Current, 10-pin MSOP, Pb-Free",1,SEM-J015,U10
LM5060Q1MM/NOPB,"High-Side Protection Controller with Low Quiescent Current, 10-pin MSOP, Pb-Free",1,SEM-J015,U2
LT1796IS8#PBF,"5.0V Can Transceiver,  +/-60V line protection -40 to 85 degC, 8-pin SOIC (D)",1,SEM-J070,U1
AP3602A,Step-up DC/DC converter based on  charge-pump,1,SEM-J072,U5
ABM3-12.000MHZ-D2Y-T,12MHZ 18PF SMD,1,XTL-193,X1
