Neoden P&P Setup,,,,,,,
,,,,,,,
Parts loaded on machine:,,,,,,,
Feeder,,,,,,,
Type,Number,Part Number,Description,Qty,SKU,Place Height,Nozzle
Tape,1,,,465,RES-J002,0.5,40
Tape,2,,,693,RES-J001,0.5,40
Tape,4,,,808,CAP-J021,0.5,40
Tape,6,,,465,RES-696,0.5,40
Tape,13,,,9054,CAP-698,0.5,40
Tape,3,,,4998,RES-10,0.5,65
Tape,5,,,3895,CAP-573,0.5,65
Tape,15,,,998,RES-171,0.5,65
Tape,17,,,0,SEM-690,0.5,65
Tape,31,,,41,RES-268,0.5,65
Tape,34,,,482,RES-266,0.5,65
Tape,37,,,522,RES-5,0.5,65
Tape,38,,,510,RES-245,0.5,65
Tape,7,,,95,IND-426,0.7,65
Tape,9,,,700,CAP-84,0.8,65
Tape,14,,,7974,CAP-180,0.8,65
Tape,32,,,76,CAP-173,0.8,65
Tape,35,,,10,IND-304,0.8,65
Tape,39,,,1163,CAP-280,0.8,65
Tape,16,,,10,OPT-503,0.9,65
Tape,30,,,899,CAP-241,1.4,65
Tape,36,,,41,FUS-533,0.5,100
Tape,40,,,537,CAP-298,1,100
Tape,41,,,99,SEM-42,1,100
Tape,8,,,92,CAP-201,1.8,100
Tape,21,,,0,SEM-J045,0.5,140
Tape,10,,,182,SEM-570,1,140
Tape,33,,,109,CAP-697,2.6,140
Tape,19,,,0,SEM-582,0.8,220
Tape,18,,,0,SEM-731,1,220
Tape,46,,,6,SEM-609,1,220
Tape,11,,,0,,NO MATCH,
Tape,12,,,0,,NO MATCH,
Tape,20,,,0,,NO MATCH,
Tape,22,,,0,,NO MATCH,
Tape,23,,,0,,NO MATCH,
Tape,24,,,0,,NO MATCH,
Tape,25,,,0,,NO MATCH,
Tape,26,,,0,,NO MATCH,
Tape,27,,,0,,NO MATCH,
Tape,28,,,0,,NO MATCH,
Tape,29,,,0,,NO MATCH,
Tape,42,,,0,,NO MATCH,
Tape,43,,,0,,NO MATCH,
Tape,44,,,0,,NO MATCH,
Tape,45,,,0,,NO MATCH,
Tape,47,,,0,,NO MATCH,
Tape,48,,,0,,NO MATCH,
Tape,49,,,0,,NO MATCH,
Tape,50,,,0,,NO MATCH,
Tape,51,,,0,,NO MATCH,
Tape,52,,,0,,NO MATCH,
Flexible,53,,,0,,NO MATCH,
Flexible,54,,,0,,NO MATCH,
Flexible,55,,,0,,NO MATCH,
Flexible,56,,,0,,NO MATCH,
Flexible,57,,,0,,NO MATCH,
Flexible,58,,,0,,NO MATCH,
Flexible,59,,,0,,NO MATCH,
Flexible,60,,,0,,NO MATCH,
Flexible,61,,,0,,NO MATCH,
Flexible,62,,,0,,NO MATCH,
Flexible,63,,,0,,NO MATCH,
Flexible,64,,,0,,NO MATCH,
Flexible,65,,,0,,NO MATCH,
Flexible,66,,,0,,NO MATCH,
Flexible,67,,,0,,NO MATCH,
Flexible,68,,,0,,NO MATCH,
Flexible,69,,,0,,NO MATCH,
Flexible,70,,,0,,NO MATCH,
Flexible,71,,,0,,NO MATCH,
Flexible,72,,,0,,NO MATCH,
Flexible,73,,,0,,NO MATCH,
Flexible,74,,,0,,NO MATCH,
Flexible,75,,,0,,NO MATCH,
Flexible,76,,,0,,NO MATCH,
Flexible,77,,,0,,NO MATCH,
Flexible,78,,,0,,NO MATCH,
Flexible,79,,,0,,NO MATCH,
Flexible,80,,,0,,NO MATCH,
Bulk,81,,,0,,NO MATCH,
Bulk,82,,,0,,NO MATCH,
Bulk,83,,,0,,NO MATCH,
Bulk,84,,,0,,NO MATCH,
Bulk,85,,,0,,NO MATCH,
Bulk,86,,,0,,NO MATCH,
Bulk,87,,,0,,NO MATCH,
Bulk,88,,,0,,NO MATCH,
Bulk,89,,,0,,NO MATCH,
Bulk,90,,,0,,NO MATCH,
Bulk,91,,,0,,NO MATCH,
Bulk,92,,,0,,NO MATCH,
Bulk,93,,,0,,NO MATCH,
Bulk,94,,,0,,NO MATCH,
Bulk,95,,,0,,NO MATCH,
Bulk,96,,,0,,NO MATCH,
Bulk,97,,,0,,NO MATCH,
Bulk,98,,,0,,NO MATCH,
Bulk,99,,,0,,NO MATCH,
