Neoden P&P Setup,,,,,,,
,,,,,,,
Parts loaded on machine:,,,,,,,
Feeder,,,,,,,
Type,Number,Part Number,Description,Qty,SKU,Place Height,Nozzle
Tape,1,,,473,RES-J002,0.5,40
Tape,2,,,771,RES-J001,0.5,40
Tape,3,,,5008,RES-10,0.5,65
Tape,4,,,844,CAP-J021,0.5,40
Tape,5,,,3990,CAP-573,0.5,65
Tape,6,,,499,RES-696,0.5,40
Tape,7,,,114,IND-426,0.7,65
Tape,8,,,108,CAP-201,1.8,100
Tape,9,,,746,CAP-84,0.8,65
Tape,10,,,200,SEM-570,1,140
Tape,11,,,33,SEM-42,1,100
Tape,12,,,NOT FOUND,,2.6,
Tape,13,,,9489,CAP-698,0.5,40
Tape,14,,,8000,CAP-180,0.8,65
Tape,15,,,32,RES-171,0.5,65
Tape,16,,,60,OPT-503,0.9,65
Tape,17,,,30,SEM-690,0.5,65
Tape,18,,,20,SEM-731,1,220
Tape,19,,,7,SEM-582,0.8,220
Tape,20,,,NOT FOUND,,NO MATCH,
Tape,21,,,10,SEM-J045,0.5,140
Tape,22,,,NOT FOUND,,NO MATCH,
Tape,23,,,NOT FOUND,,NO MATCH,
Tape,24,,,NOT FOUND,,NO MATCH,
Tape,25,,,NOT FOUND,,NO MATCH,
Tape,26,,,NOT FOUND,,NO MATCH,
Tape,27,,,NOT FOUND,,NO MATCH,
Tape,28,,,NOT FOUND,,NO MATCH,
Tape,29,,,NOT FOUND,,NO MATCH,
Tape,30,,,998,CAP-241,1.4,65
Tape,31,,,74,RES-268,0.5,65
Tape,32,,,106,CAP-173,0.8,65
Tape,33,,,208,CAP-697,2.6,140
Tape,34,,,510,RES-266,0.5,65
Tape,35,,,50,IND-304,0.8,65
Tape,36,,,50,FUS-533,0.5,100
Tape,37,,,25,RES-5,0.5,65
Tape,38,,,59,RES-245,0.5,65
Tape,39,,,171,CAP-280,0.8,65
Tape,40,,,55,CAP-298,1,100
Tape,41,,,33,SEM-42,1,100
Tape,42,,,NOT FOUND,,NO MATCH,
Tape,43,,,NOT FOUND,,NO MATCH,
Tape,44,,,NOT FOUND,,NO MATCH,
Tape,45,,,NOT FOUND,,NO MATCH,
Tape,46,,,9,SEM-609,1,220
Tape,47,,,NOT FOUND,,NO MATCH,
Tape,48,,,NOT FOUND,,NO MATCH,
Tape,49,,,NOT FOUND,,NO MATCH,
Tape,50,,,NOT FOUND,,NO MATCH,
Tape,51,,,NOT FOUND,,NO MATCH,
Tape,52,,,NOT FOUND,,NO MATCH,
Flexible,53,,,NOT FOUND,,NO MATCH,
Flexible,54,,,NOT FOUND,,NO MATCH,
Flexible,55,,,NOT FOUND,,NO MATCH,
Flexible,56,,,NOT FOUND,,NO MATCH,
Flexible,57,,,NOT FOUND,,NO MATCH,
Flexible,58,,,NOT FOUND,,NO MATCH,
Flexible,59,,,NOT FOUND,,NO MATCH,
Flexible,60,,,NOT FOUND,,NO MATCH,
Flexible,61,,,NOT FOUND,,NO MATCH,
Flexible,62,,,NOT FOUND,,NO MATCH,
Flexible,63,,,NOT FOUND,,NO MATCH,
Flexible,64,,,NOT FOUND,,NO MATCH,
Flexible,65,,,NOT FOUND,,NO MATCH,
Flexible,66,,,NOT FOUND,,NO MATCH,
Flexible,67,,,NOT FOUND,,NO MATCH,
Flexible,68,,,NOT FOUND,,NO MATCH,
Flexible,69,,,NOT FOUND,,NO MATCH,
Flexible,70,,,NOT FOUND,,NO MATCH,
Flexible,71,,,NOT FOUND,,NO MATCH,
Flexible,72,,,NOT FOUND,,NO MATCH,
Flexible,73,,,NOT FOUND,,NO MATCH,
Flexible,74,,,NOT FOUND,,NO MATCH,
Flexible,75,,,NOT FOUND,,NO MATCH,
Flexible,76,,,NOT FOUND,,NO MATCH,
Flexible,77,,,NOT FOUND,,NO MATCH,
Flexible,78,,,NOT FOUND,,NO MATCH,
Flexible,79,,,NOT FOUND,,NO MATCH,
Flexible,80,,,NOT FOUND,,NO MATCH,
Bulk,81,,,NOT FOUND,,NO MATCH,
Bulk,82,,,NOT FOUND,,NO MATCH,
Bulk,83,,,NOT FOUND,,NO MATCH,
Bulk,84,,,NOT FOUND,,NO MATCH,
Bulk,85,,,NOT FOUND,,NO MATCH,
Bulk,86,,,NOT FOUND,,NO MATCH,
Bulk,87,,,NOT FOUND,,NO MATCH,
Bulk,88,,,NOT FOUND,,NO MATCH,
Bulk,89,,,NOT FOUND,,NO MATCH,
Bulk,90,,,NOT FOUND,,NO MATCH,
Bulk,91,,,NOT FOUND,,NO MATCH,
Bulk,92,,,NOT FOUND,,NO MATCH,
Bulk,93,,,NOT FOUND,,NO MATCH,
Bulk,94,,,NOT FOUND,,NO MATCH,
Bulk,95,,,NOT FOUND,,NO MATCH,
Bulk,96,,,NOT FOUND,,NO MATCH,
Bulk,97,,,NOT FOUND,,NO MATCH,
Bulk,98,,,NOT FOUND,,NO MATCH,
Bulk,99,,,NOT FOUND,,NO MATCH,
